Timestamp,pos_eci_x,pos_eci_y,pos_eci_z,vel_eci_x,vel_eci_y,vel_eci_z
2021-07-02 09:27:59.712000+00:00,-1590317.185,440154.4753,6701645.124,-4842.681937,5649.367947,-1524.975794
2021-07-02 09:28:00.712000+00:00,-1595158.896,445803.5673,6700116.101,-4840.760117,5648.832407,-1533.080531
2021-07-02 09:28:01.712000+00:00,-1599998.683,451452.1208,6698578.975,-4838.833618,5648.29104,-1541.182063
2021-07-02 09:28:02.712000+00:00,-1604836.663,457100.2713,6697033.71,-4836.903612,5647.743032,-1549.280496
2021-07-02 09:28:03.712000+00:00,-1609672.95,462748.1522,6695480.268,-4834.965222,5647.188074,-1557.379545
2021-07-02 09:28:04.712000+00:00,-1614506.45,468394.4884,6693919,-4833.021784,5646.627453,-1565.475764
2021-07-02 09:28:05.712000+00:00,-1619338.608,474040.9649,6692349.436,-4831.07146,5646.058434,-1573.574162
2021-07-02 09:28:06.712000+00:00,-1624168.57,479686.5874,6690771.853,-4829.114302,5645.484378,-1581.671153
2021-07-02 09:28:07.712000+00:00,-1628996.693,485331.7728,6689186.136,-4827.151006,5644.902581,-1589.763611
2021-07-02 09:28:08.712000+00:00,-1633822.849,490976.3719,6687592.329,-4825.183742,5644.313027,-1597.852756
2021-07-02 09:28:09.712000+00:00,-1638647.037,496620.3781,6685990.435,-4823.211578,5643.716499,-1605.937731
2021-07-02 09:28:10.712000+00:00,-1643469.969,502264.6324,6684380.211,-4821.231307,5643.114637,-1614.025804
2021-07-02 09:28:11.712000+00:00,-1648289.474,507906.5881,6682762.387,-4819.248034,5642.504769,-1622.108352
2021-07-02 09:28:12.712000+00:00,-1653107.833,513548.9186,6681136.195,-4817.255878,5641.888555,-1630.193866
2021-07-02 09:28:13.712000+00:00,-1657924.199,519190.6295,6679501.92,-4815.260237,5641.265888,-1638.27478
2021-07-02 09:28:14.712000+00:00,-1662738.203,524831.2903,6677859.689,-4813.257532,5640.636369,-1646.3533
2021-07-02 09:28:15.712000+00:00,-1667551.163,530472.446,6676209.052,-4811.247089,5639.999805,-1654.428878
2021-07-02 09:28:16.712000+00:00,-1672360.666,536111.2709,6674550.835,-4809.233385,5639.356649,-1662.50326
2021-07-02 09:28:17.712000+00:00,-1677168.994,541750.436,6672884.253,-4807.212886,5638.706278,-1670.577219
2021-07-02 09:28:18.712000+00:00,-1681975.057,547388.6645,6671209.683,-4805.186349,5638.049584,-1678.647433
2021-07-02 09:28:19.712000+00:00,-1686779.209,553026.3742,6669527.001,-4803.150716,5637.38663,-1686.716481
2021-07-02 09:28:20.712000+00:00,-1691581.325,558663.4176,6667836.249,-4801.113429,5636.717019,-1694.787784
2021-07-02 09:28:21.712000+00:00,-1696381.641,564300.0691,6666137.343,-4799.071068,5636.040231,-1702.855983
2021-07-02 09:28:22.712000+00:00,-1701179.43,569935.4761,6664430.542,-4797.021452,5635.356859,-1710.918509
2021-07-02 09:28:23.712000+00:00,-1705975.408,575570.4784,6662715.593,-4794.966934,5634.666135,-1718.980942
2021-07-02 09:28:24.712000+00:00,-1710769.325,581204.7866,6660992.583,-4792.903745,5633.969404,-1727.039259
2021-07-02 09:28:25.712000+00:00,-1715561.179,586838.3935,6659261.518,-4790.837808,5633.264308,-1735.092781
2021-07-02 09:28:26.712000+00:00,-1720350.963,592471.2923,6657522.397,-4788.764551,5632.552965,-1743.15007
2021-07-02 09:28:27.712000+00:00,-1725138.669,598103.4767,6655775.221,-4786.683145,5631.834718,-1751.203735
2021-07-02 09:28:28.712000+00:00,-1729924.293,603734.9399,6654019.992,-4784.599035,5631.110624,-1759.254577
2021-07-02 09:28:29.712000+00:00,-1734707.833,609365.6739,6652256.718,-4782.512049,5630.377042,-1767.300764
2021-07-02 09:28:30.712000+00:00,-1739489.282,614995.6724,6650485.396,-4780.417825,5629.638321,-1775.346573
2021-07-02 09:28:31.712000+00:00,-1744268.633,620624.9292,6648706.028,-4778.318303,5628.89347,-1783.389305
2021-07-02 09:28:32.712000+00:00,-1749045.881,626253.4364,6646918.617,-4776.211687,5628.140914,-1791.430851
2021-07-02 09:28:33.712000+00:00,-1753821.02,631881.1878,6645123.163,-4774.100315,5627.381395,-1799.472495
2021-07-02 09:28:34.712000+00:00,-1758594.281,637508.4578,6643319.579,-4771.980295,5626.615358,-1807.511409
2021-07-02 09:28:35.712000+00:00,-1763364.943,643134.3947,6641508.138,-4769.855524,5625.841986,-1815.545399
2021-07-02 09:28:36.712000+00:00,-1768133.716,648759.8365,6639688.571,-4767.723814,5625.062262,-1823.581602
2021-07-02 09:28:37.712000+00:00,-1772900.356,654384.4953,6637860.967,-4765.586991,5624.275367,-1831.612319
2021-07-02 09:28:38.712000+00:00,-1777664.856,660008.3643,6636025.333,-4763.444281,5623.482579,-1839.641392
2021-07-02 09:28:39.712000+00:00,-1782427.212,665631.4352,6634181.674,-4761.296249,5622.681432,-1847.665345
2021-07-02 09:28:40.712000+00:00,-1787187.418,671253.7021,6632329.989,-4759.142739,5621.874855,-1855.691454
2021-07-02 09:28:41.712000+00:00,-1791945.468,676875.158,6630470.28,-4756.984354,5621.060551,-1863.71597
2021-07-02 09:28:42.712000+00:00,-1796701.358,682495.7979,6628602.549,-4754.821192,5620.240353,-1871.736702
2021-07-02 09:28:43.712000+00:00,-1801455.081,688115.6133,6626726.801,-4752.651053,5619.412748,-1879.753259
2021-07-02 09:28:44.712000+00:00,-1806206.628,693734.5975,6624843.035,-4750.471286,5618.57893,-1887.77073
2021-07-02 09:28:45.712000+00:00,-1810955.993,699352.7448,6622951.256,-4748.285263,5617.738472,-1895.784064
2021-07-02 09:28:46.712000+00:00,-1815703.173,704970.047,6621051.464,-4746.098496,5616.890263,-1903.796876
2021-07-02 09:28:47.712000+00:00,-1820448.281,710586.64,6619143.614,-4743.903416,5616.037309,-1911.806297
2021-07-02 09:28:48.712000+00:00,-1825190.952,716202.0949,6617227.852,-4741.702154,5615.175515,-1919.813309
2021-07-02 09:28:49.712000+00:00,-1829931.54,721816.8266,6615304.039,-4739.496136,5614.308149,-1927.814194
2021-07-02 09:28:50.712000+00:00,-1834670.156,727430.9681,6613372.127,-4737.285467,5613.432057,-1935.81604
2021-07-02 09:28:51.712000+00:00,-1839406.084,733043.6696,6611432.408,-4735.068323,5612.550731,-1943.815075
2021-07-02 09:28:52.712000+00:00,-1844140.03,738655.768,6609484.594,-4732.846969,5611.663187,-1951.812539
2021-07-02 09:28:53.712000+00:00,-1848871.75,744266.9754,6607528.783,-4730.617653,5610.7694,-1959.808052
2021-07-02 09:28:54.712000+00:00,-1853601.236,749877.2857,6605564.974,-4728.383027,5609.867587,-1967.802888
2021-07-02 09:28:55.712000+00:00,-1858328.597,755486.8373,6603593.107,-4726.144841,5608.958993,-1975.795232
2021-07-02 09:28:56.712000+00:00,-1863053.476,761095.1985,6601613.343,-4723.901888,5608.042328,-1983.781123
2021-07-02 09:28:57.712000+00:00,-1867776.227,766702.7819,6599625.542,-4721.65314,5607.120159,-1991.767475
2021-07-02 09:28:58.712000+00:00,-1872496.725,772309.4401,6597629.757,-4719.397447,5606.192098,-1999.750856
2021-07-02 09:28:59.712000+00:00,-1877215.201,777915.4484,6595625.889,-4717.135844,5605.258141,-2007.732873
2021-07-02 09:29:00.712000+00:00,-1881930.94,783519.9564,6593614.243,-4714.866365,5604.316471,-2015.712917
2021-07-02 09:29:01.712000+00:00,-1886644.644,789123.8017,6591594.518,-4712.593433,5603.368279,-2023.688114
2021-07-02 09:29:02.712000+00:00,-1891356.067,794726.6968,6589566.813,-4710.313296,5602.411746,-2031.660246
2021-07-02 09:29:03.712000+00:00,-1896065.206,800328.6349,6587531.131,-4708.028724,5601.449905,-2039.632037
2021-07-02 09:29:04.712000+00:00,-1900772.175,805929.749,6585487.424,-4705.739663,5600.481016,-2047.602686
2021-07-02 09:29:05.712000+00:00,-1905476.615,811529.6116,6583435.851,-4703.442473,5599.505465,-2055.569234
2021-07-02 09:29:06.712000+00:00,-1910178.871,817128.6371,6581376.262,-4701.140297,5598.524014,-2063.531437
2021-07-02 09:29:07.712000+00:00,-1914878.824,822726.6768,6579308.71,-4698.833518,5597.533851,-2071.491777
2021-07-02 09:29:08.712000+00:00,-1919576.466,828323.7239,6577233.199,-4696.519536,5596.537739,-2079.452275
2021-07-02 09:29:09.712000+00:00,-1924271.794,833919.7706,6575149.729,-4694.200574,5595.534553,-2087.408122
2021-07-02 09:29:10.712000+00:00,-1928964.804,839514.8102,6573058.309,-4691.876869,5594.526537,-2095.362765
2021-07-02 09:29:11.712000+00:00,-1933655.49,845108.8358,6570958.942,-4689.545569,5593.510229,-2103.312666
2021-07-02 09:29:12.712000+00:00,-1938345.134,850703.3774,6568851.048,-4687.210971,5592.486943,-2111.265585
2021-07-02 09:29:13.712000+00:00,-1943029.866,856293.8165,6566736.37,-4684.869553,5591.458374,-2119.212346
2021-07-02 09:29:14.712000+00:00,-1947713.546,861884.759,6564613.171,-4682.52382,5590.42212,-2127.155207
2021-07-02 09:29:15.712000+00:00,-1952394.879,867474.6602,6562482.033,-4680.173806,5589.378622,-2135.096382
2021-07-02 09:29:16.712000+00:00,-1957073.857,873063.5126,6560342.957,-4677.812289,5588.328041,-2143.035303
2021-07-02 09:29:17.712000+00:00,-1961750.472,878651.3112,6558195.943,-4675.446709,5587.272102,-2150.973414
2021-07-02 09:29:18.712000+00:00,-1966424.719,884238.0482,6556040.999,-4673.074578,5586.208834,-2158.904866
2021-07-02 09:29:19.712000+00:00,-1971097.062,889824.2748,6553877.91,-4670.70003,5585.138471,-2166.837081
2021-07-02 09:29:20.712000+00:00,-1975766.328,895408.5903,6551707.218,-4668.318571,5584.061826,-2174.76608
2021-07-02 09:29:21.712000+00:00,-1980434.263,900993.0797,6549528.111,-4665.93357,5582.977599,-2182.692031
2021-07-02 09:29:22.712000+00:00,-1985097.944,906574.2472,6547341.955,-4663.541732,5581.887773,-2190.616544
2021-07-02 09:29:23.712000+00:00,-1989760.282,912155.5771,6545147.386,-4661.145185,5580.790902,-2198.53866
2021-07-02 09:29:24.712000+00:00,-1994421.152,917736.9213,6542944.458,-4658.740176,5579.687081,-2206.457952
2021-07-02 09:29:25.712000+00:00,-1999077.751,923314.924,6540734.497,-4656.330757,5578.574774,-2214.371037
2021-07-02 09:29:26.712000+00:00,-2003732.869,928892.9271,6538516.181,-4653.914255,5577.45705,-2222.283
2021-07-02 09:29:27.712000+00:00,-2008385.568,934469.8088,6536289.951,-4651.493074,5576.332566,-2230.196761
2021-07-02 09:29:28.712000+00:00,-2013036.077,940045.8418,6534055.699,-4649.067834,5575.201372,-2238.106008
2021-07-02 09:29:29.712000+00:00,-2017683.689,945620.1823,6531813.762,-4646.632769,5574.063779,-2246.014847
2021-07-02 09:29:30.712000+00:00,-2022329.448,951194.0801,6529563.636,-4644.194302,5572.920872,-2253.921174
2021-07-02 09:29:31.712000+00:00,-2026972.3,956766.273,6527305.834,-4641.751122,5571.771513,-2261.82341
2021-07-02 09:29:32.712000+00:00,-2031612.591,962337.1723,6525040.189,-4639.302661,5570.613438,-2269.721063
2021-07-02 09:29:33.712000+00:00,-2036250.663,967907.1907,6522766.534,-4636.84797,5569.451111,-2277.618919
2021-07-02 09:29:34.712000+00:00,-2040886.277,973476.0433,6520484.983,-4634.387461,5568.281787,-2285.513422
2021-07-02 09:29:35.712000+00:00,-2045519.429,979043.7214,6518195.54,-4631.923477,5567.102573,-2293.403607
2021-07-02 09:29:36.712000+00:00,-2050150.114,984610.2172,6515898.21,-4629.453438,5565.917238,-2301.288389
2021-07-02 09:29:37.712000+00:00,-2054778.559,990175.8034,6513592.877,-4626.979827,5564.72532,-2309.174617
2021-07-02 09:29:38.712000+00:00,-2059404.061,995739.638,6511279.893,-4624.496238,5563.527512,-2317.053241
2021-07-02 09:29:39.712000+00:00,-2064027.309,1001302.549,6508958.914,-4622.010215,5562.321227,-2324.932596
2021-07-02 09:29:40.712000+00:00,-2068648.065,1006864.25,6506630.054,-4619.514202,5561.108851,-2332.812129
2021-07-02 09:29:41.712000+00:00,-2073266.322,1012424.735,6504293.316,-4617.01205,5559.888454,-2340.685518
2021-07-02 09:29:42.712000+00:00,-2077882.079,1017984.002,6501948.672,-4614.510157,5558.663675,-2348.554736
2021-07-02 09:29:43.712000+00:00,-2082495.328,1023542.041,6499596.159,-4611.999536,5557.432083,-2356.422485
2021-07-02 09:29:44.712000+00:00,-2087106.061,1029098.844,6497235.785,-4609.482317,5556.192371,-2364.286322
2021-07-02 09:29:45.712000+00:00,-2091714.272,1034654.404,6494867.556,-4606.958066,5554.947523,-2372.148584
2021-07-02 09:29:46.712000+00:00,-2096319.956,1040208.716,6492491.471,-4604.42954,5553.695988,-2380.008682
2021-07-02 09:29:47.712000+00:00,-2100923.34,1045762.049,6490107.416,-4601.898,5552.434733,-2387.86332
2021-07-02 09:29:48.712000+00:00,-2105523.841,1051313.699,6487715.692,-4599.35784,5551.167077,-2395.716883
2021-07-02 09:29:49.712000+00:00,-2110121.8,1056864.079,6485316.121,-4596.814777,5549.891543,-2403.563973
2021-07-02 09:29:50.712000+00:00,-2114717.443,1062413.461,6482908.586,-4594.263972,5548.614694,-2411.410315
2021-07-02 09:29:51.712000+00:00,-2119310.309,1067961.298,6480493.325,-4591.708576,5547.329292,-2419.254668
2021-07-02 09:29:52.712000+00:00,-2123900.732,1073507.985,6478070.16,-4589.146415,5546.037399,-2427.097211
